"Month","Civilian labour force in Australia each month: thousands of persons. Feb 1978 ? Aug 1995"
"1987-02",6468.5
"1987-03",6465.4
"1987-04",6457.6
"1987-05",6436.7
"1987-06",6424.8
"1987-07",6416.6
"1987-08",6403.7
"1987-09",6411.6
"1987-10",6416.2
"1987-11",6406.6
"1987-12",6570.0
"1988-01",6421.2
"1988-02",6508.8
"1988-03",6524.6
"1988-04",6508.2
"1988-05",6475.7
"1988-06",6488.7
"1988-07",6491.0
"1988-08",6456.0
"1988-09",6558.2
"1988-10",6555.4
"1988-11",6552.4
"1988-12",6688.1
"1989-01",6554.6
"1989-02",6655.8
"1989-03",6694.3
"1989-04",6632.8
"1989-05",6690.0
"1989-06",6679.2
"1989-07",6701.7
"1989-08",6675.9
"1989-09",6767.6
"1989-10",6698.7
"1989-11",6701.6
"1989-12",6862.3
"1990-01",6686.8
"1990-02",6784.2
"1990-03",6841.2
"1990-04",6805.8
"1990-05",6791.6
"1990-06",6767.6
"1990-07",6803.6
"1990-08",6774.3
"1990-09",6896.7
"1990-10",6819.3
"1990-11",6808.4
"1990-12",6944.4
"1991-01",6799.4
"1991-02",6921.2
"1991-03",6961.2
"1991-04",6871.6
"1991-05",6894.7
"1991-06",6865.9
"1991-07",6879.3
"1991-08",6840.7
"1991-09",6952.6
"1991-10",6961.7
"1991-11",6922.2
"1991-12",7047.6
"1992-01",6866.7
"1992-02",7014.2
"1992-03",7044.3
"1992-04",6963.8
"1992-05",6993.3
"1992-06",6959.7
"1992-07",6982.2
"1992-08",6927.9
"1992-09",7079.1
"1992-10",6989.3
"1992-11",7002.3
"1992-12",7146.4
"1993-01",6969.3
"1993-02",7101.9
"1993-03",7203.2
"1993-04",7153.2
"1993-05",7125.2
"1993-06",7131.5
"1993-07",7123.6
"1993-08",7070.1
"1993-09",7200.6
"1993-10",7131.5
"1993-11",7147.3
"1993-12",7263.4
"1994-01",7110.1
"1994-02",7269.9
"1994-03",7330.2
"1994-04",7204.1
"1994-05",7267.1
"1994-06",7267.0
"1994-07",7270.3
"1994-08",7248.3
"1994-09",7403.9
"1994-10",7305.8
"1994-11",7425.1
"1994-12",7502.0
"1995-01",7378.5
"1995-02",7527.2
"1995-03",7604.5
"1995-04",7606.5
"1995-05",7573.5
"1995-06",7571.5
"1995-07",7587.6
"1995-08",7516.2
"1995-09",7673.7
"1995-10",7621.4
"1995-11",7618.4
"1995-12",7772.6
"1996-01",7573.2
"1996-02",7722.0
"1996-03",7836.2
"1996-04",7761.6
"1996-05",7738.7
"1996-06",7732.0
"1996-07",7785.7
"1996-08",7694.4
"1996-09",7784.1
"1996-10",7762.8
"1996-11",7749.3
"1996-12",7951.3
"1997-01",7815.6
"1997-02",7892.1
"1997-03",8042.7
"1997-04",8028.2
"1997-05",7947.9
"1997-06",7947.3
"1997-07",7901.8
"1997-08",7892.1
"1997-09",8057.7
"1997-10",7985.2
"1997-11",7997.1
"1997-12",8186.2
"1998-01",8017.3
"1998-02",8167.8
"1998-03",8184.5
"1998-04",8199.4
"1998-05",8247.8
"1998-06",8197.9
"1998-07",8235.1
"1998-08",8197.0
"1998-09",8355.7
"1998-10",8275.1
"1998-11",8317.5
"1998-12",8443.5
"1999-01",8263.0
"1999-02",8402.8
"1999-03",8426.4
"1999-04",8428.5
"1999-05",8466.5
"1999-06",8451.8
"1999-07",8502.3
"1999-08",8412.5
"1999-09",8553.2
"1999-10",8477.5
"1999-11",8479.4
"1999-12",8645.7
"2000-01",8263.0
"2000-02",8436.4
"2000-03",8199.4
"2000-04",8323.5
"2000-05",8606.8
"2000-06",8199.4
"2000-07",8480.8
"2000-08",8425.7
"2000-09",8630.0
"2000-10",8489.4
"2000-11",8491.6
"2000-12",8699.8
"2001-01",8530.5
"2001-02",8648.6
"2001-03",8653.6
"2001-04",8607.3
"2001-05",8607.9
"2001-06",8615.5
"2001-07",8667.9
"2001-08",8585.7
"2001-09",8686.8
"2001-10",8627.4
"2001-11",8552.0
"2001-12",8738.7
"2002-01",8543.6
"2002-02",8583.2
"2002-03",8643.6
"2002-04",8519.6
"2002-05",8573.4
"2002-06",8591.5
"2002-07",8573.1
"2002-08",8537.0
"2002-09",8712.5
"2002-10",8668.2
"2002-11",8662.7
"2002-12",8816.7
"2003-01",8656.0
"2003-02",8759.0
"2003-03",8787.4
"2003-04",8718.7
"2003-05",8729.1
"2003-06",8731.9
"2003-07",8788.9
"2003-08",8683.5
"2003-09",8918.1
"2003-10",8788.1
"2003-11",8789.3
"2003-12",8963.8
"2004-01",8807.1
"2004-02",8976.3
"2004-03",8980.3
"2004-04",8973.7
"2004-05",8984.4
"2004-06",8998.4
"2004-07",9003.1
"2004-08",8939.6

Civilian labour force in Australia each month: thousands of persons. Feb 1978 ? Aug 1995

